"species","scenario","label","sim","gamma_true","epsilon_true","psi1_true","p_true","converged","boundary","gamma_hat","epsilon_hat","psi1_hat","p_hat","aic","bias_gamma","bias_epsilon","bias_p","rel_bias_gamma","rel_bias_epsilon","ci_covers_gamma","ci_covers_epsilon","ratio_hat","ratio_true","regime_hat","regime_true","regime_correct","underest_10x","underest_100x"
"otitar","A","Empirical",42,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.0168600912893705,1,6.58584630714793e-18,0.002007407726221,30.6320535278724,0.0168146072884319,0.777609018347355,-0.206386443393045,369.681798906025,3.49658521478138,FALSE,FALSE,59.3116598740158,4889.43314271682,"asymmetric","trap",FALSE,FALSE,FALSE
"otitar","A","Empirical",43,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.95145658982851e-32,0.00010638805331039,0.000321192910402211,0.310535562848812,57.4415282288092,-4.54840009386186e-05,-0.222284593599335,0.102141711729546,-1,-0.999521617052455,FALSE,FALSE,10638805331038980,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",44,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",45,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,2.21399083692045e-149,1,4.10321881220973e-14,8.25308266150949e-57,3611.38345526422,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",46,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,0,1,1.1631169533469e-67,1.71385783978154e-279,8,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",47,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,FALSE,0.00169839699530101,1,8.91013658189632e-72,0.0702473705836217,76.433904319075,0.00165291299436239,0.777609018347355,-0.138146480535644,36.3405364579299,3.49658521478138,FALSE,FALSE,588.790490542977,4889.43314271682,"trap","trap",TRUE,FALSE,FALSE
"otitar","A","Empirical",48,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.96226775623398e-149,1,4.10321881220922e-14,2.20735685288265e-56,1461.73997247522,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",49,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,6.89625631004291e-33,9.27605960743094e-05,0.000836755927329263,0.166662534588247,60.1483931770942,-4.54840009386186e-05,-0.222298221056571,-0.0417313165310187,-1,-0.999582894075178,FALSE,FALSE,9276059607430938,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",50,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.99234384208707e-149,1,4.10321881220929e-14,1.98063580931213e-56,1462.35981801713,-4.54840009386186e-05,0.777609018347355,-0.208393851119266,-1,3.49658521478138,FALSE,FALSE,1e+20,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
"otitar","A","Empirical",51,4.54840009386186e-05,0.222390981652645,0.000307932595294111,0.208393851119266,TRUE,TRUE,1.02591839065123e-30,2.30826013250481e-05,0.000299503635260083,0.388753022281017,46.4250776752805,-4.54840009386186e-05,-0.22236789905132,0.180359171161752,-1,-0.999896207116163,FALSE,FALSE,2308260132504814,4889.43314271682,"trap","trap",TRUE,TRUE,TRUE
